Dataset,Experiment_Type,Condition,Accuracy,Precision,Recall,F1_Score,Training_Time(s),Test_Time(s)
CTU,Activation,ELU,0.9388493475682088,0.9409353574876045,0.9388493475682088,0.9394368046510794,88.7838191986084,0.10698628425598145
CTU,Activation,RELU,0.9116844602609727,0.9142860660400377,0.9116844602609727,0.9119240936949563,31.990295886993408,0.1445474624633789
CTU,Activation,SIGMOID,0.7673784104389086,0.7981088309018352,0.7673784104389086,0.7778595521734827,40.4819450378418,0.07202267646789551
CTU,Attention,With Cbam,0.9417556346381969,0.9414166212875553,0.9417556346381969,0.9408911838229796,112.9929313659668,0.12726807594299316
CTU,Attention,Without Attention,0.9215302491103203,0.9294441210722921,0.9215302491103203,0.9238845851315182,15.449787616729736,0.08255791664123535
USTC,Activation,ELU,0.935762397721622,0.9411944412301185,0.935762397721622,0.9352393559003707,127.14074754714966,0.12504792213439941
USTC,Activation,RELU,0.9186293567198589,0.9209358047240535,0.9186293567198589,0.9179329437672357,37.86053824424744,0.17540955543518066
USTC,Activation,SIGMOID,0.8089598119434022,0.8112938984634863,0.8089598119434022,0.8081635204262383,50.657814741134644,0.10855555534362793
USTC,Attention,With Cbam,0.9390172234528277,0.9415803158943635,0.9390172234528277,0.9387048091646708,160.19687962532043,0.15508747100830078
USTC,Attention,Without Attention,0.9314226300800145,0.9367130867552605,0.9314226300800145,0.9311360514361039,47.25276494026184,0.11087632179260254
